OpenCL device: Apple / Apple M1 Max
OpenCL time: 6.41104 s
Python time: 6.49176 s

RESULTS (filtered) - OpenCL and Python separately
----------------------+----------+--------------+------------------+------------------
name                  |games     |winning       |opencl_val        |python_val        
----------------------+----------+--------------+------------------+------------------
James Diaz 000        |50        |55.000        |2637363756        |845634091         
Benjamin Ramirez 001  |24        |56.300        |389303999         |3724671448        
Ava Lewis 002         |57        |90.100        |1882366230        |4294548535        
Ava Carter 003        |37        |51.400        |2973355238        |2485324766        
Aiden Lee 004         |24        |72.700        |945137069         |1936323836        
Riley Diaz 005        |22        |82.200        |3183976183        |1596616225        
Abigail Scott 006     |38        |76.500        |3280809075        |1596036637        
Lucas Gomez 007       |20        |81.400        |94680749          |3425236464        
Lucas Bennett 008     |19        |59.700        |1326835519        |650742183         
Matthew Watson 009    |15        |67.100        |2736793397        |82300158          
Alexander Robinson 010|32        |77.200        |1397054251        |4186920685        
Noah Baker 011        |39        |74.100        |632768954         |1476741363        
Mia Lewis 012         |45        |63.200        |2015888860        |3155779216        
Alexander Ramirez 013 |22        |81.700        |3924563790        |3954214297        
Ava Watson 014        |24        |84.800        |3984831294        |2727175109        
Noah Gomez 015        |24        |89.000        |1771137858        |289774768         
Mia Campbell 016      |39        |78.600        |3009505946        |3318389965        
James Rivera 017      |33        |66.000        |4173567935        |1847373385        
Ella Lee 018          |53        |79.200        |1620949194        |1069565752        
Sebastian Harris 019  |56        |61.000        |1140272220        |1910737208        
Grace Ramirez 020     |27        |94.500        |447015865         |3694579801        
Amelia Diaz 021       |30        |87.900        |3260629926        |2085295224        
Olivia Gomez 022      |12        |86.200        |1945858974        |3189342094        
Logan Carter 023      |14        |59.500        |3040026953        |2250483181        
Sebastian Brooks 024  |51        |72.500        |3173895033        |582610498         
Isabella Robinson 025 |26        |56.300        |4276751679        |632065848         
Olivia Hall 026       |47        |69.300        |2269483037        |3245875501        
Daniel King 027       |24        |94.900        |2455124149        |3932487187        
